Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
Arnala,1.55,41.544,44.44,179,-53,6.1,1,0,0,0
Aspindza,1.55,41.388,42.833,222,-56,3.2,1,0,0,0
Axa,1.55,41.341,43.652,155,-61,2.3,1,0,0,0
Bertakana (2),1.55,41.279,42.914,182,-62,1.8,1,0,0,0
Chvidsakrada,1.55,41.471,43.512,204,-55,2.9,1,0,0,0
Khertvissi,1.55,41.358,42.844,206,-56,3.8,1,0,0,0
Korxi(1),1.55,41.359,42.933,207,-67,0.8,1,0,0,0
Mtkvari,1.55,41.358,42.844,233,-63,0.9,1,0,0,0
Murjebi,1.55,41.419,43.033,193,-77,3.6,1,0,0,0
Orozmani (2),1.55,41.182,43.793,196,-31,4.5,1,0,0,0
Samchvilde,1.55,41.382,43.842,194,-59,1.4,1,0,0,0
Sarfisgele (3),2.18,41.145,43.507,175,-57,3.3,1,0,0,0
Saro,1.55,41.388,42.833,213,-62,1.4,1,0,0,0
Tsalka,1.55,41.481,43.641,202,-63,3.1,1,0,0,0
Varevani,1.55,41.389,42.943,215,-66,1.9,1,0,0,0
Zurtaketi (2),0.31,41.381,44,170,-41,3.8,1,0,0,0
Zurtaketi (5),1.55,41.291,43.653,155,-51,2.1,1,0,0,0
VE05,5.72,21.465,262.024,184.6,-45.3,5.8,1,0,0,0
VE06,7.33,21.467,262.075,171.8,-38.1,6,1,0,0,0
VE12,3.18,19.888,263.466,183.6,-21.4,2.9,1,0,0,0
VE16,3.5,20.004,263.696,203.7,-36.1,2.7,1,0,0,0
VE17,4.03,20.135,263.646,175.8,-14.6,1.8,1,0,0,0
VE18,1.53,20.697,262.623,174.8,-29.8,2.9,1,0,0,0
VE19,1.62,20.603,262.53,179.1,-17.6,5.7,1,0,0,0
AN4,5.56,21.144,257.309,181.9,-36.8,2.7,1,0,0,0
FN12,5.44,21.146,257.268,159.2,-23.7,2.8,1,0,0,0
FN14,9.8,21.484,257.674,159.2,-13.2,5.9,1,0,0,0
FN15,9.8,21.484,257.674,161.4,-16.3,1.8,1,0,0,0
FN16,9.8,21.484,257.674,188.2,-44,2.5,1,0,0,0
FN17,9.8,21.484,257.674,191.7,-37,2.7,1,0,0,0
FN3,4.89,21.103,257.217,184.9,-18.2,3.8,1,0,0,0
FN4,4.89,21.103,257.217,176.9,-18.3,2.9,1,0,0,0
FN4-A,4.89,21.103,257.217,176.6,-17.4,4.1,1,0,0,0
FN5,4.89,21.103,257.217,176.6,-14.2,3.6,1,0,0,0
FN6,4.89,21.103,257.217,175.5,-22.5,3.2,1,0,0,0
FN7,4.89,21.103,257.217,176.1,-38.9,5.6,1,0,0,0
FN8,5.2,21.127,257.246,175.7,-40.7,4.4,1,0,0,0
az13,0.835,37.67,334.707,202.1,-41.1,1.8,1,0,0,0
az16,0.843,37.668,334.701,191.6,-37.2,4.4,1,0,0,0
az17,0.819,37.671,334.706,170.8,-45.8,2.7,1,0,0,0
az18,0.849,37.665,334.702,182.1,-42.2,2.1,1,0,0,0
az19,0.852,37.665,334.695,162.1,-62.4,1.4,1,0,0,0
az21,0.878,37.68,334.708,180.7,-47,1.7,1,0,0,0
az23,0.785,37.739,334.634,171.9,-47,1.2,1,0,0,0
az24,0.817,37.734,334.629,199.2,-43.2,2.7,1,0,0,0
az25,0.814,37.735,334.63,185.1,-40.3,3.7,1,0,0,0
az27,0.776,37.734,334.707,166.6,-44.9,1.7,1,0,0,0
az28,0.785,37.732,334.706,180.9,-38,1.8,1,0,0,0
GA01,1.5,-1.061,269.788,181.9,17.9,4.9,1,0,0,0
GA02,1.5,-1.061,269.788,177.1,22.2,2.5,1,0,0,0
GA15,1.5,-1.075,269.721,182.9,5.6,3.9,1,0,0,0
GA18,1.5,-1.082,269.659,181.2,0.7,6.2,1,0,0,0
GA19,1.5,-1.083,269.661,178.3,5.1,4.4,1,0,0,0
GA20,1.5,-1.084,269.662,185,10.4,3.2,1,0,0,0
GA21,1.5,-1.073,269.631,185,-3.9,3.9,1,0,0,0
GA22,1.5,-1.072,269.629,179,9.5,6.3,1,0,0,0
GA23,1.5,-1.014,269.615,162.5,3.2,6.6,1,0,0,0
GA24,1.5,-1.014,269.615,167.1,1.3,3.4,1,0,0,0
GA25,1.5,-1.012,269.618,179.3,-1.9,3.9,1,0,0,0
GA26,1.5,-1.012,269.62,166.3,13.1,3.9,1,0,0,0
GA27,1.5,-1.01,269.621,186.2,-3,3.3,1,0,0,0
GA63,1.5,-1.381,268.855,187.2,4.4,4.9,1,0,0,0
GA64,1.5,-1.377,268.838,180.5,1.3,3.8,1,0,0,0
GA65,1.5,-1.377,268.838,172.3,2,6.8,1,0,0,0
GA66,1.5,-1.371,268.83,185,-0.6,2.8,1,0,0,0
GA67,1.5,-1.37,268.828,180.2,-0.3,6.2,1,0,0,0
GA70,1.5,-1.361,268.824,177.9,-13.3,3.4,1,0,0,0
GA71,1.5,-1.361,268.824,176,-9.8,4.1,1,0,0,0
GA82,1.5,-1.395,268.719,177.6,-3.4,6.5,1,0,0,0
mc01,1.18,-77.719,166.217,258.6,78.6,3.6,1,0,0,0
mc102,0.264,-78.196,163.254,150.4,75.7,2.9,1,0,0,0
