Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
TM9,0.362,20.864,256.019,23.3,5.8,3.1,1,0,0,0
RA11,9.00E-02,-21.194,55.608,3.4,-52.6,4.5,1,0,0,0
RA13,9.00E-02,-21.194,55.608,335.9,-43.9,2.7,1,0,0,0
RA14,9.00E-02,-21.194,55.608,334.3,-50.5,4.8,1,0,0,0
RA15,9.00E-02,-21.194,55.608,335.1,-38.4,4.5,1,0,0,0
RA16,9.00E-02,-21.194,55.608,359.1,-36.7,5.4,1,0,0,0
RA17,9.00E-02,-21.194,55.608,351.9,-44,4.1,1,0,0,0
RA7,9.00E-02,-21.194,55.608,350.9,-57.8,4,1,0,0,0
RA8,9.00E-02,-21.194,55.608,346.4,-58.8,5.8,1,0,0,0
RA9,9.00E-02,-21.194,55.608,348.8,-58.1,3.3,1,0,0,0
RB1,8.50E-03,-21.243,55.684,1.1,-40.9,4,1,0,0,0
RB10,8.50E-03,-21.243,55.684,350,-50,5.8,1,0,0,0
RB11,8.50E-03,-21.243,55.684,352.6,-53.5,3.9,1,0,0,0
RB12,8.50E-03,-21.243,55.684,347.7,-54.3,5.3,1,0,0,0
RB2,8.50E-03,-21.243,55.684,0.8,-41.4,5.1,1,0,0,0
RB3,8.50E-03,-21.243,55.684,358.7,-33.2,5.3,1,0,0,0
RB3',8.50E-03,-21.243,55.684,357.9,-38.4,2.1,1,0,0,0
RB4,8.50E-03,-21.243,55.684,356,-34.8,2.8,1,0,0,0
RB5,8.50E-03,-21.243,55.684,3.8,-41,2.9,1,0,0,0
RB6,8.50E-03,-21.243,55.684,5.4,-43.8,5,1,0,0,0
RB7,8.50E-03,-21.243,55.684,10.6,-41.8,2.6,1,0,0,0
RB8,8.50E-03,-21.243,55.684,6.7,-43.8,6.7,1,0,0,0
RB9,8.50E-03,-21.243,55.684,4.7,-42.5,7.3,1,0,0,0
A107,0.965,60.203,193.528,335.6,74.4,2.5,1,0,0,0
A115,0.965,60.203,193.528,4.7,69.1,1.3,1,0,0,0
A21,0.965,60.203,193.528,30.1,60.2,2,1,0,0,0
A32,0.965,60.203,193.528,54.8,78.2,2.1,1,0,0,0
A33,0.965,60.203,193.528,11.8,72.9,1.9,1,0,0,0
A34,0.965,60.203,193.528,10.4,75.4,2.4,1,0,0,0
A36,0.965,60.203,193.528,354,75.7,2,1,0,0,0
A37,0.965,60.203,193.528,9,75.1,3.7,1,0,0,0
A38,0.965,60.203,193.528,357.8,75.3,3,1,0,0,0
A40,0.965,60.203,193.528,7.7,72.7,1.8,1,0,0,0
A41,0.965,60.203,193.528,13.7,73.9,2.1,1,0,0,0
A42,0.965,60.203,193.528,17.5,75,1.8,1,0,0,0
A43,0.965,60.203,193.528,9.5,72.2,2.1,1,0,0,0
A50,0.965,60.203,193.528,339.5,81.7,1.4,1,0,0,0
A51,0.965,60.203,193.528,74.4,80.8,5.5,1,0,0,0
A55,0.965,60.203,193.528,344.2,81.4,1.7,1,0,0,0
A59,0.965,60.203,193.528,337.1,84.4,4.1,1,0,0,0
A60,0.965,60.203,193.528,345.6,84.5,2,1,0,0,0
A67,0.965,60.203,193.528,338,56.6,3.1,1,0,0,0
A69,0.965,60.203,193.528,8.5,67.6,3.5,1,0,0,0
A71,0.965,60.203,193.528,338.1,68.6,5.7,1,0,0,0
A72,0.965,60.203,193.528,342.7,69,2.6,1,0,0,0
A73,0.965,60.203,193.528,336.3,67.7,2.9,1,0,0,0
A74,0.965,60.203,193.528,335.6,70,3.5,1,0,0,0
A75,0.965,60.203,193.528,326.9,66.7,2,1,0,0,0
A76,0.965,60.203,193.528,334.8,66.4,2,1,0,0,0
A77,0.965,60.203,193.528,340.3,75.9,2.3,1,0,0,0
A78,0.965,60.203,193.528,338.5,75.2,3.1,1,0,0,0
A79,0.965,60.203,193.528,11.1,77.1,1.3,1,0,0,0
A80,0.965,60.203,193.528,5.6,78.9,2.3,1,0,0,0
A81,0.965,60.203,193.528,3.7,79.6,2.8,1,0,0,0
A82,0.965,60.203,193.528,9.2,79.5,1.6,1,0,0,0
A86,0.965,60.203,193.528,345.7,64.2,4.9,1,0,0,0
A91,0.965,60.203,193.528,17.1,62.1,2.9,1,0,0,0
A92,0.965,60.203,193.528,27.3,72.4,3.4,1,0,0,0
A96,0.965,60.203,193.528,70.6,73.8,2.5,1,0,0,0
11-La Mina,0.0172,19.706,258.582,345.5,4.6,2,1,0,0,0
15-La Taza,0.00843,19.536,258.292,336.6,30.3,3.8,1,0,0,0
16-Cerro Cainjuata,0.02,19.667,257.953,6.8,40.6,2.3,1,0,0,0
17-Cerro Paracho,0.06,19.63,257.916,15.7,23.3,3.4,1,0,0,0
18-El Metate,0.0047,19.576,257.961,16.1,24.6,1.7,1,0,0,0
2-Cerro Gordo,0.39,20.433,259.046,5.3,33,5.3,1,0,0,0
20-El Pelon,0.37,19.333,258.093,347.8,24.2,6.7,1,0,0,0
21-El Jabal’,0.00383,19.425,257.851,349.5,26.1,1.9,1,0,0,0
22-Cerro Urujuato,0.02,19.007,257.783,337.5,16.5,1.9,1,0,0,0
23-Buenavista Tomatlan,0.54,19.187,257.477,2.6,17.2,2.4,1,0,0,0
24-El Jorullo,2.45E-04,19.005,258.231,8.9,55.6,3.6,1,0,0,0
7-El Picacho,0.17,19.838,258.046,349.5,17.3,3.9,1,0,0,0
8-El Pueblito,0.029,19.827,258.064,21.6,33.7,2.8,1,0,0,0
9-Brinco del Diablo,1.88,20.056,258.397,348.3,26.9,1.6,1,0,0,0
jm002,0.24,70.886,351.204,61.8,75.5,3,1,0,0,0
jm003,0.24,70.887,351.071,305.9,80.6,3.3,1,0,0,0
jm004,0.191,70.906,351.103,3.9,76.9,3,1,0,0,0
jm006,0.316,70.915,351.201,302.3,72.6,2.8,1,0,0,0
jm007,0.329,70.913,351.198,38.8,83.4,2.4,1,0,0,0
jm008,0.461,70.894,351.169,299.8,85.6,4.2,1,0,0,0
jm009,0.43,70.901,351.184,19.6,81.4,2.5,1,0,0,0
jm011,0.24,70.856,350.999,56.7,79.5,3.9,1,0,0,0
jm012,0.293,70.805,350.872,56.4,64.7,2.3,1,0,0,0
jm013,0.24,70.844,350.917,22.9,78.9,4,1,0,0,0
jm014,0.24,70.851,350.934,47,63.6,7.8,1,0,0,0
jm015,0.24,70.886,351.022,294.5,79.5,6.2,1,0,0,0
jm016,0.105,70.983,351.789,111,66.9,3.3,1,0,0,0
jm017,0.24,70.963,351.755,353.4,77.4,3.4,1,0,0,0
jm019,0.24,70.955,351.655,44.8,63.3,2,1,0,0,0
jm020,0.000278,70.985,351.69,61.2,79.9,4.7,1,0,0,0
jm021,0.144,70.864,351.146,27.8,72.3,2,1,0,0,0
jm022,0.006,70.891,351.19,30.1,63.1,2.3,1,0,0,0
jm023,0.24,70.856,351.146,329.1,67.7,7.6,1,0,0,0
jm024,0.24,70.978,351.461,287.9,77.8,5,1,0,0,0
jm025,0.24,71.004,351.48,16.8,75,1.5,1,0,0,0
jm026,0.24,71.005,351.465,338.9,73.7,1.6,1,0,0,0
jm027,0.24,71.005,351.485,192.6,81.4,2,1,0,0,0
sp100,0.5,79.377,13.051,53.5,82.4,1.4,1,0,0,0
sp101,0.5,79.377,13.051,85,77.8,1.5,1,0,0,0
sp104,0.5,79.197,13.332,355.5,54.3,1.4,1,0,0,0
sp108,9,78.19,9.637,338,76.6,2.4,1,0,0,0
sp109,9.15,78.17,9.565,343.4,72.7,5,1,0,0,0
sp110,9,78.19,9.637,348.9,75.5,2.5,1,0,0,0
sp111,9.09,78.178,9.594,313,64.8,1.1,1,0,0,0
sp113,9,78.356,9.328,331.2,79.8,2,1,0,0,0
cr017,2.11,10.441,274.493,14,18.6,2,1,0,0,0
cr035,1.25,9.935,275.644,359.3,23.7,1.9,1,0,0,0
cr036,0.321,9.966,275.76,353.7,23.6,4.8,1,0,0,0
cr037,0.496,9.96,275.738,357.9,27.9,4.1,1,0,0,0
cr401,0.426,10.05,275.888,347.2,-7,1.7,1,0,0,0
cr402,0.427,10.046,275.888,0.6,-18.1,5,1,0,0,0
cr404,0.0135,9.895,276.123,347,5.5,2.6,1,0,0,0
cr405,0.332,9.967,275.758,354.6,21.6,2.7,1,0,0,0
cr406,0.4,10.062,275.945,0.2,22.7,1.2,1,0,0,0
cr408,0.27,9.754,275.746,14.2,5.5,3.8,1,0,0,0
cr409,0.331,9.911,275.48,340.9,22.4,4.1,1,0,0,0
cr410,1.25,9.713,275.38,351.1,24.1,4.7,1,0,0,0
cr411,1.25,9.847,275.93,22.2,-16.7,2.5,1,0,0,0
cr412,0.176,9.885,276.064,28.8,-3.3,2.7,1,0,0,0
cr414L,1.25,9.778,275.96,358.6,-15,2.3,1,0,0,0
cr414U,1.25,9.778,275.96,13.1,-12.2,0.9,1,0,0,0
cr415,0.338,9.963,275.853,359.1,10.5,3.4,1,0,0,0
cr417,1.92,10.235,274.91,23.1,37.4,6.3,1,0,0,0
cr419,1.25,10.439,274.752,354.1,34.3,6.4,1,0,0,0
cr420,1.25,10.698,274.649,7.6,31.2,1.3,1,0,0,0
cr422,1.25,10.427,275.142,350.6,31.6,1.3,1,0,0,0
cr423,1.25,10.429,275.144,346.4,32.9,1.5,1,0,0,0
cr424,1.25,10.425,275.148,7.7,14.5,3,1,0,0,0
cr427,1.25,9.934,276.04,0.1,43.7,1.8,1,0,0,0
cr429,0.061,10.212,275.809,358.8,30.6,2.6,1,0,0,0
cr430,0.005,10.197,275.746,356.8,25.9,1.8,1,0,0,0
Fay01:Fay02:Fay03:Fay18:Fay23:Fay27:Fay30:Fay31,0.00279,38.592,331.171,12.2,59.3,0.7,1,0,0,0
Fay04:Fay05:Fay13:Fay26,0.003,38.595,331.195,358.8,62.4,2.1,1,0,0,0
Fay06,1.89E-03,38.598,331.171,8,69.5,3.4,1,0,0,0
Fay09:Fay12,2.02E-03,38.615,331.209,9.9,56.7,0.5,1,0,0,0
Fay10,2.26E-03,38.586,331.181,1.6,50.5,2.2,1,0,0,0
Fay14:Fay24,1.99E-03,38.597,331.22,342.3,50.4,0.9,1,0,0,0
Fay16,4.41E-03,38.601,331.156,1.2,58.8,1.6,1,0,0,0
Fay17:Fay21:Fay28,7.81E-03,38.58,331.218,351.3,60.3,1.2,1,0,0,0
Fay20,4.69E-03,38.587,331.217,359.2,60.4,3.2,1,0,0,0
Fay25,2.01E-03,38.606,331.169,349.6,63.7,2.6,1,0,0,0
Fay32,4.27E-03,38.606,331.17,3.8,52.5,2,1,0,0,0
Fay33,6.46E-03,38.603,331.215,2.5,54.1,2.1,1,0,0,0
HN16,1.6,64.944,345.07,333.2,75.2,1.6,1,0,0,0
HNB15:HNC15,1.83,64.899,345.123,94.5,88.2,0.1,1,0,0,0
KG2,1.97,64.801,345.065,21.4,63.3,2.5,1,0,0,0
KG3,1.67,64.858,345.004,341.4,69.2,2.9,1,0,0,0
KG4,1.62,64.868,344.994,353.8,84.5,3.4,1,0,0,0
KG5,1.67,64.858,345.004,34.6,85.3,3.2,1,0,0,0
KG6,1.67,64.859,345.002,50,84.1,1.9,1,0,0,0
TH14,1.05,64.945,344.629,339.7,70.4,1.6,1,0,0,0
TH16:TH17,0.595,65.027,344.523,304.9,73.1,1.7,1,0,0,0
THA15,1,64.955,344.617,354.8,69.4,2.7,1,0,0,0
FV23,0.33,64.825,344.648,254,88,3,1,0,0,0
FV11,2.78,64.361,345.166,216,82,2.6,1,0,0,0
FV10,2.82,64.353,345.182,45,78,2.3,1,0,0,0
FV8,3.12,64.299,345.264,29,77,2.4,1,0,0,0
FV7,3.15,64.295,345.276,4,68,1.9,1,0,0,0
FV5,3.58,64.215,345.36,1,77,2.8,1,0,0,0
FV3,3.59,64.213,345.364,17,76,2.6,1,0,0,0
FV2,3.59,64.212,345.366,337,87,2.1,1,0,0,0
FV1,3.5,64.229,345.349,324,77,2.9,1,0,0,0
FU21,2.8,64.392,345.25,14,65,2.7,1,0,0,0
FU20,2.81,64.389,345.252,333,78,3,1,0,0,0
FU17,3.58,64.237,345.406,343,77,2.5,1,0,0,0
FT38,2.69,64.434,345.245,30,69,3.5,1,0,0,0
FT35,3.54,64.279,345.463,342,83,2.6,1,0,0,0
FT34,3.56,64.274,345.468,358,73,3.2,1,0,0,0
FT33,3.57,64.272,345.471,75,83,2,1,0,0,0
FT32,3.58,64.27,345.474,320,57,2.2,1,0,0,0
FT31,3.58,64.27,345.474,322,81,2.6,1,0,0,0
FT30,3.61,64.263,345.48,300,71,2.1,1,0,0,0
FT29,3.63,64.261,345.486,61,72,4,1,0,0,0
FT8,4.26,64.14,345.618,343,65,2.9,1,0,0,0
FTB7,4.22,64.148,345.611,318,83,2.7,1,0,0,0
FT6,4.25,64.141,345.616,28,68,3.5,1,0,0,0
FS28,4.21,64.186,345.686,316,73,3.3,1,0,0,0
FS27,4.22,64.185,345.688,38,77,1.9,1,0,0,0
FS24,4.29,64.169,345.701,59,68,3,1,0,0,0
FS20,4.86,64.059,345.811,323,73,2.6,1,0,0,0
FS14,5.08,64.016,345.853,360,74,4.1,1,0,0,0
FS13,5.09,64.014,345.855,30,68,3,1,0,0,0
FS12,5.12,64.009,345.862,210,82,3.5,1,0,0,0
FS10,5.15,64.002,345.868,19,58,2,1,0,0,0
FS9,5.18,63.996,345.874,10,69,4.1,1,0,0,0
FS8,5.19,63.994,345.876,306,82,2.1,1,0,0,0
FS7,5.19,63.994,345.877,300,84,2.5,1,0,0,0
FS6,5.2,63.991,345.878,305,81,2.7,1,0,0,0
FS5,5.23,63.986,345.883,355,67,2.8,1,0,0,0
FS4,5.23,63.985,345.884,73,86,2.6,1,0,0,0
FS3,5.25,63.981,345.888,15,72,1.8,1,0,0,0
FS1,5.29,63.973,345.897,335,72,3.5,1,0,0,0
FR28,5.28,64.011,345.986,32,74,4.4,1,0,0,0
FR27,5.3,64.008,345.989,347,67,2.9,1,0,0,0
FR12,6.67,63.742,346.249,360,66,3.1,1,0,0,0
FR8,6.72,63.731,346.258,354,80,3.5,1,0,0,0
FR7,6.74,63.727,346.261,356,71,3.1,1,0,0,0
FR6,6.78,63.718,346.269,2,79,3.2,1,0,0,0
FR5,6.78,63.719,346.272,40,79,3,1,0,0,0
BT01,0.144,-8.078,112.858,7.2,-11.1,1.7,1,0,0,0
BT02,0.135,-8.079,112.86,355.8,-10.1,1.8,1,0,0,0
BT03,0.122,-8.08,112.863,10.8,-46,3.9,1,0,0,0
BT04,0.122,-8.08,112.863,4.2,-31.4,4.2,1,0,0,0
BT04b,0.122,-8.08,112.863,10.5,3.9,5.6,1,0,0,0
BT04c,0.122,-8.08,112.863,354.8,-28.3,2,1,0,0,0
BT05,0.122,-8.08,112.863,4.8,-3.1,3.1,1,0,0,0
BT07,0.487,-8.044,112.779,343.9,7.4,5.1,1,0,0,0
BT08,0.487,-8.044,112.779,354.7,-19.6,2.7,1,0,0,0
BT09,0.487,-8.044,112.779,353.1,-26.5,2.5,1,0,0,0
BT11,0.487,-8.044,112.779,352.1,-10.2,3.7,1,0,0,0
BT12,0.487,-8.044,112.779,335.9,-6,3.8,1,0,0,0
BT13,0.487,-8.044,112.779,350.9,-26.7,5.6,1,0,0,0
BT15,0.487,-8.044,112.779,336.4,-12.9,3.7,1,0,0,0
BT15 : BT16,0.487,-8.044,112.779,337.5,-12.7,2.9,1,0,0,0
