Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
MC07,2450,47.89,-84.02,42.4,32.2,5.8,1,0,0,0
MC08,2450,47.89,-84.02,44.1,21.1,8.5,1,0,0,0
MC09,2450,47.89,-84.04,60.2,16.1,9.1,1,0,0,0
MC10,2450,47.89,-84.04,53.3,20.7,5.6,1,0,0,0
KP22,2450,47.55,-84.8,27.9,26.4,12.6,1,0,0,0
TK43,2450,47.72,-84.26,11.1,21,7.3,1,0,0,0
TK55,2450,47.71,-84.3,24.7,24.6,12.5,1,0,0,0
TK58,2450,47.7,-84.28,31,21.7,10.8,1,0,0,0
TK85,2450,47.76,-83.96,43.9,22.3,4.2,1,0,0,0
TK121,2450,47.61,-84.16,41.6,19.8,9.8,1,0,0,0
TK146,2450,47.87,-83.72,39.7,16.9,11.9,1,0,0,0
TK149,2450,47.84,-83.54,32.4,4.6,9.3,1,0,0,0
TK167,2450,47.93,-83.71,19.6,8.1,8.8,1,0,0,0
TA14,2450,47.62,-83.52,45,22.2,7.1,1,0,0,0
PB7,2450,47.89,-83.91,40.1,29.4,11.5,1,0,0,0
HP3,2450,49.27,-84.76,16.7,18.7,7.2,1,0,0,0
HP5,2450,49.1,-84.75,10.3,23.6,6.6,1,0,0,0
HP7,2450,49.08,-84.75,9.9,30.9,3.5,1,0,0,0
HP9,2450,49.06,-84.75,18.3,28.2,4.1,1,0,0,0
HP10,2450,49.05,-84.75,8.7,25,3.1,1,0,0,0
HP11,2450,48.96,-84.75,2.2,23.3,2.8,1,0,0,0
HP12,2450,48.8,-84.81,1.5,33.9,4.2,1,0,0,0
HP14,2450,48.69,-84.9,13.6,26.3,4,1,0,0,0
HT1,2450,49.7,-83.9,22.4,22.3,5.8,1,0,0,0
HT4,2450,49.5,-83.85,13.4,26.5,8.5,1,0,0,0
HT11,2450,49.7,-83.5,18.4,-9.8,12,1,0,0,0
HT13,2450,49.65,-83.4,17,10.3,3.5,1,0,0,0
HT18,2450,49.15,-83.65,13.6,24.3,7.3,1,0,0,0
HT19,2450,49.15,-83.65,7.5,26.9,9.1,1,0,0,0
HT20,2450,49.1,-83.65,21.9,20.8,7.8,1,0,0,0
HT22,2450,49.1,-83.7,16,13.7,4,1,0,0,0
HT23,2450,49.1,-83.7,19.4,16.5,7.7,1,0,0,0
MC11,2450,49.07,-84.75,21.1,30,3.5,1,0,0,0
MC13,2450,48.8,-84.84,7.8,29.4,4.3,1,0,0,0
MC14,2450,48.8,-84.84,15,17.1,4.6,1,0,0,0
MC15,2450,48.79,-84.86,0,28,4.4,1,0,0,0
MC16,2450,48.7,-84.92,4,26.5,5.2,1,0,0,0
MC17,2450,49.29,-84.77,10.2,23.2,3.8,1,0,0,0
MC18,2450,48.97,-84.76,16.1,27.9,2.5,1,0,0,0
29U,2450,49.8,-85.69,22.3,31.8,12.5,1,0,0,0
OL1,2450,50.82,-87.15,8.2,20.4,5.1,1,0,0,0
OL2,2450,50.8,-87.19,2.7,29.2,11,1,0,0,0
OL4,2450,50.87,-87.18,1.7,14.3,7.1,1,0,0,0
LL1,2450,49.8,-86.55,22.5,14.8,6.1,1,0,0,0
LL2,2450,49.74,-86.78,15.6,14,10.6,1,0,0,0
LL3,2450,49.79,-86.58,16.9,21.6,5.4,1,0,0,0
LL4,2450,49.68,-86.67,9.2,18,9.9,1,0,0,0
LL8,2450,49.71,-87.37,3.1,14.3,4.2,1,0,0,0
LL10,2450,50.17,-87.66,7.5,16.8,6,1,0,0,0
LL11,2450,50.29,-87.53,3.4,28.4,5,1,0,0,0
LL13,2450,50.33,-87.94,354.2,16.9,7.1,1,0,0,0
LL14,2450,50.02,-87.46,12.1,23,6.4,1,0,0,0
LL15,2450,50.46,-86.8,8.3,10.3,7.6,1,0,0,0
LL17,2450,48.61,-85.33,12.6,16.5,14,1,0,0,0
LL19,2450,50.61,-86.71,5.3,29.3,4.7,1,0,0,0
LL21,2450,49.83,-86.82,16.5,30.2,6.9,1,0,0,0
